doc_id,CASEID,Freedom.and.Rights,E.plurabus.Unum,representation.of.the.people,popular.will.and.equality,National.identity.and.heritage,Not.a.democracy.a.Republic,flawed.democracy,Institution.and.constitution,unclassified.other,Don.t.know,nothing.disaffected,Nothing.more.to.add,NA.
3,2058253621,1,0,0,1,0,0,0,0,0,0,0,0,0
11,2058252331,0,0,0,1,0,0,0,0,0,0,0,0,0
12,2058259953,1,0,0,0,0,0,0,0,0,0,0,0,0
19,2059351929,0,0,0,0,0,0,0,0,0,0,1,0,0
29,2057897425,0,0,0,0,0,0,0,1,0,0,0,0,0
30,2057934857,1,0,0,0,0,0,0,0,0,0,0,0,0
32,2057868111,0,0,0,1,0,0,0,0,0,0,0,0,0
35,2061537811,1,0,0,0,0,0,0,0,0,0,0,0,0
39,2057936693,0,0,0,0,0,1,0,0,0,0,0,0,0
46,2058744751,0,0,0,0,0,1,0,0,0,0,0,0,0
47,2058368267,1,0,0,0,0,0,0,0,0,0,0,0,0
49,2055581081,1,0,0,0,0,0,0,0,0,0,0,0,0
57,2058328067,0,0,0,0,0,1,0,0,0,0,0,0,0
66,2056636029,0,0,0,1,0,0,0,0,0,0,0,0,0
68,2058254277,1,0,0,1,0,0,0,0,0,0,0,0,0
69,2058208355,0,0,0,1,0,0,1,0,0,0,0,0,0
71,2058007277,1,0,0,1,0,0,0,0,0,0,0,0,0
72,2056529821,1,0,0,0,0,0,0,0,0,0,0,0,0
73,2058334919,1,0,0,0,0,0,0,0,0,0,0,0,0
74,2058678771,1,0,0,0,0,0,0,0,0,0,0,0,0
79,2060383531,0,0,0,1,0,0,0,0,0,0,0,0,0
83,2057554033,0,0,0,0,0,0,0,0,1,0,0,0,0
85,2059442885,0,0,0,1,0,0,0,0,0,0,0,0,0
87,2058252401,0,0,0,1,0,0,0,0,0,0,0,0,0
94,2058301945,0,0,0,0,0,1,0,0,0,0,0,0,0
95,2057005771,0,0,1,1,0,0,0,0,0,0,0,0,0
96,2059351941,0,0,0,1,0,0,0,0,0,0,0,0,0
102,2058865055,1,0,0,0,0,0,0,0,0,0,0,0,0
103,2058130209,0,0,0,0,0,0,0,0,1,0,0,0,0
104,2058873301,0,0,0,1,0,0,0,0,0,0,0,0,0
105,2058764009,1,0,0,0,0,0,0,0,0,0,0,0,0
107,2057101231,0,0,0,1,0,0,0,0,0,0,0,0,0
108,2059351943,1,0,0,0,0,0,0,0,0,0,0,0,0
117,2057497833,0,0,0,1,0,0,0,0,0,0,0,0,0
119,2056451087,0,0,0,1,0,0,0,0,0,0,0,0,0
122,2050149793,0,0,0,1,0,0,1,0,0,0,0,0,0
123,2059351951,0,0,0,1,0,0,0,0,0,0,0,0,0
124,2059035791,1,0,0,0,0,0,0,0,0,0,0,0,0
125,2060759483,0,0,0,1,0,0,0,0,0,0,0,0,0
127,2059403751,1,0,0,1,0,0,0,0,0,0,0,0,0
128,2056783287,0,0,0,0,0,1,0,0,0,0,0,0,0
129,2057936491,1,0,0,0,0,0,0,0,0,0,0,0,0
132,2058768041,0,0,0,0,0,0,1,0,0,0,0,0,0
133,2058328539,0,0,0,0,0,1,0,0,0,0,0,0,0
138,2059313169,1,0,0,0,0,0,0,0,0,0,0,0,0
139,2058276911,0,0,0,1,0,0,0,0,0,0,0,0,0
141,2056668465,0,0,0,0,0,0,0,1,0,0,0,0,0
144,2058815163,1,0,0,1,0,0,0,0,0,0,0,0,0
147,2058082087,1,0,0,1,0,0,0,0,0,0,0,0,0
148,2057101537,0,0,0,0,0,0,0,0,1,0,0,0,0
149,2059351959,0,0,0,1,0,1,0,0,0,0,0,0,0
151,2057867941,0,0,0,1,0,0,0,0,0,0,0,0,0
154,2058799091,1,0,0,0,0,0,0,0,0,0,0,0,0
155,2059351961,1,0,0,1,0,0,0,0,0,0,0,0,0
164,2057778381,1,0,0,0,0,0,0,0,0,0,0,0,0
165,2060347513,0,0,0,0,0,0,0,1,0,0,0,0,0
167,2058278637,0,0,0,1,0,0,0,0,0,0,0,0,0
168,2058554257,0,0,0,0,0,0,1,0,0,0,0,0,0
170,2057811219,0,0,0,1,0,0,0,0,0,0,0,0,0
171,2058295835,0,0,0,1,0,0,0,0,0,0,0,0,0
173,2058232843,0,0,0,1,0,0,0,0,0,0,0,0,0
174,2058844009,0,0,0,1,0,0,0,0,0,0,0,0,0
177,2057174257,0,0,0,0,0,1,0,0,0,0,0,0,0
181,2057971277,1,0,0,1,0,0,0,0,0,0,0,0,0
182,2057897139,0,0,0,0,0,1,0,0,0,0,0,0,0
187,2059351973,0,0,0,0,1,0,0,0,0,0,0,0,0
190,2055327799,0,0,0,0,0,1,0,0,0,0,0,0,0
192,2059351975,1,0,0,0,0,0,0,0,0,0,0,0,0
198,2057445721,1,0,0,0,0,0,0,0,0,0,0,0,0
199,2057968789,0,0,0,1,0,0,0,0,0,0,0,0,0
201,2058396749,0,0,0,0,0,0,1,1,0,0,0,0,0
203,2058114087,1,0,0,0,0,0,0,0,0,0,0,0,0
204,2057778235,1,0,0,1,0,0,0,0,0,0,0,0,0
205,2059324839,0,0,0,1,0,0,0,0,0,0,0,0,0
212,2059404157,1,0,0,0,0,0,0,0,0,0,0,0,0
218,2060426189,1,0,0,0,0,0,0,0,0,0,0,0,0
221,2059351981,0,0,0,1,0,0,0,0,0,0,0,0,0
225,2057497959,1,0,0,0,0,0,0,0,0,0,0,0,0
228,2058665723,1,0,0,0,0,0,0,0,0,0,0,0,0
231,2056325151,0,0,0,1,0,0,0,0,0,0,0,0,0
234,2058352339,0,0,0,1,0,0,0,0,0,0,0,0,0
235,2058997089,1,0,0,1,0,0,0,0,0,0,0,0,0
236,2044470385,0,0,0,0,0,0,0,0,1,0,0,0,0
239,2059114289,0,0,1,0,0,0,0,0,0,0,0,0,0
240,2058375137,0,0,0,0,0,0,0,0,1,0,0,0,0
241,2058254061,0,0,0,1,0,0,1,0,0,0,0,0,0
243,2057440717,0,0,0,1,0,0,0,0,0,0,0,0,0
246,2057530827,0,0,0,1,0,0,0,0,0,0,0,0,0
247,2058352117,0,0,0,0,0,0,0,0,1,0,0,0,0
250,2057907289,0,0,0,1,0,0,1,0,0,0,0,0,0
257,2057941255,0,0,0,1,0,0,0,0,0,0,0,0,0
258,2059351997,0,0,0,0,0,0,0,1,0,0,0,0,0
261,2055773819,0,0,0,0,0,0,0,0,0,0,1,0,0
263,2057838335,0,0,0,1,0,0,0,0,0,0,0,0,0
267,2061490659,0,0,0,1,0,0,0,0,0,0,0,0,0
269,2058646669,0,0,0,0,0,0,1,0,0,0,0,0,0
273,2058326135,1,0,0,0,0,0,0,0,0,0,0,0,0
282,2058006965,1,0,0,0,0,0,0,0,0,0,0,0,0
284,2053041089,0,0,0,0,0,0,0,0,0,0,1,0,0
288,2058647345,0,0,0,0,0,0,0,0,0,1,0,0,0
289,2058007407,1,0,0,0,0,0,0,0,0,0,0,0,0
292,2057075851,1,0,0,0,0,0,0,0,0,0,0,0,0
293,2058419143,1,0,0,0,0,0,0,0,0,0,0,0,0
296,2057445413,1,0,0,0,0,0,0,0,0,0,0,0,0
298,2061616153,0,0,1,1,0,0,0,0,0,0,0,0,0
302,2059352001,0,0,0,0,0,0,0,0,1,0,0,0,0
307,2058846237,1,0,0,0,0,0,0,0,0,0,0,0,0
312,2058687599,0,0,0,1,0,0,0,0,0,0,0,0,0
313,2057721575,1,0,0,1,0,0,0,0,0,0,0,0,0
315,2054955425,0,0,0,1,0,0,0,0,0,0,0,0,0
320,2058420093,0,0,0,1,0,0,0,0,0,0,0,0,0
322,2060731417,1,0,0,0,0,0,0,0,0,0,0,0,0
324,2058002909,0,0,0,1,0,0,0,0,0,0,0,0,0
329,2056602025,0,0,0,1,0,0,0,0,0,0,0,0,0
338,2058832667,0,0,0,1,0,0,0,0,0,0,0,0,0
339,2057205625,1,0,0,0,0,0,0,0,0,0,0,0,0
344,2058443361,0,0,0,1,0,0,0,0,0,0,0,0,0
345,2058443063,0,0,0,0,0,0,0,1,0,0,0,0,0
346,2059002437,0,0,0,0,0,0,0,0,0,0,1,0,0
348,2058314195,0,0,0,1,0,0,0,0,0,0,0,0,0
350,2058234989,1,0,0,1,0,0,0,0,0,0,0,0,0
352,2060396775,1,0,1,0,0,0,0,0,0,0,0,0,0
353,2058326687,0,0,0,1,0,0,0,0,0,0,0,0,0
360,2059352005,1,0,0,0,0,0,0,0,0,0,0,0,0
362,2059197469,0,0,0,0,0,0,0,0,1,0,0,0,0
363,2058571597,0,0,1,1,0,0,0,0,0,0,0,0,0
367,2058698109,0,0,0,1,0,0,0,0,0,0,0,0,0
370,2060224841,0,0,0,0,0,0,0,0,0,1,0,0,0
372,2060765099,0,0,0,1,0,0,0,0,0,0,0,0,0
379,2057933111,0,0,0,0,0,0,1,0,0,0,0,0,0
382,2058091815,0,0,0,1,0,0,0,0,0,0,0,0,0
385,2060587961,0,0,0,1,0,0,0,0,0,0,0,0,0
391,2058301207,0,0,0,0,0,0,0,0,1,0,0,0,0
395,2061694521,0,0,1,1,0,0,0,0,0,0,0,0,0
398,2060945323,1,0,0,0,0,0,0,0,0,0,0,0,0
400,2058273549,0,0,0,0,0,1,0,0,0,0,0,0,0
401,2058252459,1,0,0,0,0,0,0,0,0,0,0,0,0
402,2060560377,1,0,0,1,0,0,0,0,0,0,0,0,0
408,2053864063,0,0,0,1,0,0,0,0,0,0,0,0,0
411,2058387585,0,0,0,0,0,0,0,0,1,0,0,0,0
412,2057077887,0,0,0,1,0,0,0,0,0,0,0,0,0
413,2055267061,1,0,0,1,0,0,1,0,0,0,0,0,0
414,2061215049,1,0,0,0,0,0,0,0,0,0,0,0,0
417,2058608451,0,0,0,1,0,0,0,0,0,0,0,0,0
419,2059249785,0,0,0,1,0,0,0,0,0,0,0,0,0
420,2057497727,1,0,0,0,0,0,1,0,0,0,0,0,0
421,2059352025,0,0,0,0,0,1,0,0,0,0,0,0,0
423,2058940197,1,0,0,0,0,0,0,0,0,0,0,0,0
424,2058046435,0,1,0,0,0,0,0,0,0,0,0,0,0
432,2059312561,0,0,0,1,0,0,0,0,0,0,0,0,0
434,2056938659,0,0,1,1,0,0,0,0,0,0,0,0,0
446,2058830843,1,0,0,0,0,0,0,0,0,0,0,0,0
447,2058813899,1,0,0,1,0,0,0,0,0,0,0,0,0
450,2058443069,1,0,0,0,0,0,0,0,0,0,0,0,0
456,2057897443,0,0,0,1,0,0,0,0,0,0,0,0,0
457,2058718823,0,0,0,1,0,0,0,0,0,0,0,0,0
463,2058567473,0,0,1,0,0,0,0,0,0,0,0,0,0
465,2057101025,0,0,0,1,0,0,0,0,0,0,0,0,0
467,2058458885,0,0,0,1,0,0,0,0,0,0,0,0,0
478,2057308597,1,0,0,1,0,0,0,0,0,0,0,0,0
480,2058780553,1,0,0,1,0,0,0,0,0,0,0,0,0
481,2056781239,0,0,0,1,0,0,0,0,0,0,0,0,0
482,2057124043,1,0,0,1,0,0,0,0,0,0,0,0,0
483,2058253011,1,0,0,1,0,0,0,0,0,0,0,0,0
